trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9998}",25,0,-253.51626167973623,"{0: 9, 1: 0, 2: 12, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9995990002}",20,16,4.0372535588115035,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9993969960050042}",20,5,-74.21584528811171,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9991939828030983}",20,5,-70.14947765570086,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9989899559654325}",30,0,-98.33357482550016,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9987849108462045}",25,0,-2.823328752864682,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9985788427826437}",20,0,-60.0134158254715,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9983717470949961}",20,5,-98.0349848200571,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9981636190865087}",25,0,-166.11748446121433,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9979544540434155}",25,3,-81.52046551098296,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9977442472349239}",20,2,-144.31960006990184,"{0: 7, 1: 3, 2: 6, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.9975329939132013}",30,0,-154.9779945275851,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9973206893133625}",20,0,-132.00859656076418,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9971073286534581}",30,0,-195.15258175765587,"{0: 17, 1: 1, 2: 7, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.996892907134463}",20,0,-32.7650038172949,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9966774199402657}",20,0,-102.4270542531314,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9964608622376583}",20,0,-121.20382917284668,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9962432291763271}",20,0,-145.19694284123514,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9960245158888439}",20,0,-105.85154590193876,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9958047174906577}",20,0,-114.41327631984002,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9955838290800877}",20,13,-1.7707004800630415,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.9953618457383161}",20,0,-116.34167820259286,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9951387625293825}",25,0,-85.37727803635018,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9949145745001782}",25,0,-254.14223768473985,"{0: 10, 1: 3, 2: 7, 3: 1, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.9946892766804416}",25,7,-102.5852334201299,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
26,False,"{'a': 0.5, 'e': 0.9944628640827547}",25,0,-135.96269033986067,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9942353317025393}",25,0,-192.90273833688485,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9940066745180549}",25,0,-135.77054775681927,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9937768874903968}",20,0,-85.85058408679802,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9935459655634954}",25,0,-110.60478189250644,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9933139036641154}",30,0,-119.05542482264573,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9930806967018571}",25,0,-123.56566402095596,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.992846339569157}",20,0,-67.53704087447674,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9926108271412906}",20,0,-193.27095954837077,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9923741542763747}",25,0,-59.75770069229017,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9921363158153715}",20,0,-128.66959387197994,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9918973065820932}",20,0,-62.87295773795198,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9916571213832068}",30,0,-211.82641807465248,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
39,False,"{'a': 0.5, 'e': 0.991415755008241}",25,0,-110.97271516958224,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9911732022295926}",25,0,-171.45859693547533,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.9909294578025349}",20,1,-84.1668661712046,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
42,False,"{'a': 0.5, 'e': 0.9906845164652264}",25,10,-52.53236203225338,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.99043837293872}",25,0,-115.99551478410868,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9901910219269738}",25,0,-83.25333317713708,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9899424581168629}",20,0,-53.69478170243226,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9896926761781909}",25,0,-134.38326188382933,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.9894416707637037}",25,0,-46.39225016242881,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9891894365091035}",25,0,-73.5617415861745,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9889359680330639}",25,0,-131.99562872812763,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9886812599372461}",20,0,-25.03888908238681,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9884253068063154}",25,0,-112.9910671789068,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9881681032079596}",35,0,-177.2583282358388,"{0: 22, 1: 2, 2: 6, 3: 3, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9879096436929078}",20,0,-9.792826990640235,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9876499227949505}",35,0,-113.38808959263162,"{0: 21, 1: 4, 2: 8, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.98738893503096}",20,0,-285.3241341644617,"{0: 6, 1: 4, 2: 3, 3: 2, 4: 5}",0
56,False,"{'a': 0.5, 'e': 0.9871266749009131}",20,14,0.09642435871919064,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.9868631368879132}",25,0,-263.8374513097325,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 5}",0
58,False,"{'a': 0.5, 'e': 0.9865983154582149}",30,0,-106.11405445649277,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9863322050612487}",20,0,-85.8864461236156,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9860648001296475}",30,14,-15.266588601290193,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.9857960950792728}",20,14,-6.671543647370751,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.9855260843092442}",20,0,-77.4119910102067,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9852547622019675}",35,0,-170.93356689108197,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.9849821231231659}",30,9,-100.64303675112065,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.9847081614219112}",25,0,-187.9212299649306,"{0: 11, 1: 1, 2: 9, 3: 3, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9844328714306563}",20,0,-107.50621400101883,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.984156247465269}",30,0,-76.48019690286768,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9838782838250673}",25,10,-50.313110391835544,"{0: 7, 1: 4, 2: 4, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.9835989747928547}",25,0,-105.01578189504805,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9833183146349582}",20,0,-154.02686085186275,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9830362976012661}",30,18,-25.511337089889594,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.9827529179252678}",25,0,-68.88731033122278,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9824681698240946}",25,0,-180.84632223360504,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9821820474985616}",20,0,-75.61217953479861,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9818945451332112}",30,0,-142.5934564309515,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9816056568963569}",20,0,-167.20363376915918,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
77,False,"{'a': 0.5, 'e': 0.9813153769401298}",20,0,-42.82020920752971,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9810236994005249}",25,0,-106.92416124482199,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9807306183974498}",20,0,-78.65615378668979,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.9804361280347738}",25,0,-91.08584825969243,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.980140222400379}",20,0,-117.27692445518258,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9798428955662124}",20,0,-124.5227426336967,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9795441415883392}",35,0,-215.09144394437243,"{0: 17, 1: 6, 2: 9, 3: 0, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.9792439545069977}",30,0,-141.38639831866496,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.9789423283466553}",20,0,-79.66173713600142,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9786392571160659}",20,1,-76.47279985382232,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.978334734808329}",30,0,-121.72046952392931,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9780287554009498}",20,0,-168.48226235014772,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.9777213128559007}",20,0,-94.57764373622025,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.9774124011196845}",25,0,-82.33206249206224,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9771020141233988}",20,0,-62.791329983559976,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.9767901457828019}",25,1,-59.82956338249984,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.9764767899983798}",35,0,-66.86801792106534,"{0: 26, 1: 3, 2: 4, 3: 2, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.9761619406554156}",25,0,-254.16886054266394,"{0: 10, 1: 2, 2: 6, 3: 4, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.9758455916240593}",25,0,-98.60848623708787,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.9755277367593995}",20,0,-121.34189130775306,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.9752083699015371}",35,15,-96.38754458995021,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",1
98,False,"{'a': 0.5, 'e': 0.9748874848756596}",25,0,-156.00807780846532,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.9745650754921172}",20,0,-49.909418039166596,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.9742411355465014}",30,0,-177.770654978364,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 4}",0
101,False,"{'a': 0.5, 'e': 0.9739156588197235}",25,0,-155.5309832584691,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.9735886390780962}",20,0,-114.52240500567781,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.9732600700734154}",20,0,-73.5911003529429,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.9729299455430449}",20,12,-59.12233800741364,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.9725982592100016}",25,2,-34.360901838345676,"{0: 19, 1: 3, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.9722650047830432}",25,0,-146.41322134601683,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.9719301759567569}",20,7,-33.5433223548758,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.9715937664116497}",30,0,-81.03670574081758,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.9712557698142413}",20,0,-1.5980134874600744,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.9709161798171574}",20,0,-87.61776349601706,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9705749900592253}",25,0,-81.58621672601295,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9702321941655715}",20,6,-0.1464347372870467,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.9698877857477203}",20,0,-49.1760943834665,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.9695417584036947}",20,0,-34.1618378626537,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.9691941057181189}",20,2,-81.89204650302578,"{0: 10, 1: 5, 2: 1, 3: 1, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.9688448212623221}",25,0,-81.42744166633057,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.9684938985944446}",30,0,-139.9182460231895,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
