trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.999}",20,0,-40.72494830542537,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.9977003}",30,0,-224.68650883916237,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
3,False,"{'a': 0.1, 'e': 0.996011976586027}",25,0,-155.06658665530531,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.9938203408610603}",20,0,-63.2159499198434,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.9909778995755004}",20,0,-55.72925843293492,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.9872956889369715}",20,0,-108.15043137168163,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.9825328154739388}",25,0,-312.41073525516407,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 6}",0
8,False,"{'a': 0.1, 'e': 0.9763841908767007}",20,0,-62.357994761201255,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.9684667600718754}",20,0,-59.33589649115921,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.9583050916595474}",30,0,-162.0448648924957,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.9453181587718672}",25,0,-141.94918898947938,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.928810637531457}",20,0,-36.784682691155425,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.9079742063894973}",20,14,1.287982312372771,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.8819070923132394}",30,0,-174.72324508186045,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 4}",0
15,False,"{'a': 0.1, 'e': 0.8496630004609853}",25,0,-81.00164747373239,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.810342264628399}",20,0,-106.48675010209395,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.763235960992804}",20,0,-76.3691430787608,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.7080239123407455}",20,0,-84.9649751525643,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.6450060967724105}",20,0,-135.20361045063734,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.5753141272027614}",20,0,-67.84257948712562,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-109.7794509591604,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,1,-59.529128846329975,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-177.34486555812032,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",25,3,-94.94714971728992,"{0: 13, 1: 4, 2: 2, 3: 2, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,-100.0279603180499,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,-158.11882727769307,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-157.87714396271838,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",30,0,-248.0578233209645,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 5}",0
9,True,"{'a': 0, 'e': 0}",20,0,-84.05917990653974,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-107.40662828484479,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
